timestamp,board_ts_ms,ax,ay,az,gx,gy,gz,rotation_hint
2026-07-07 17:34:16.357,3109503,0.1761,-0.168,1.0298,7.7515,-9.9487,-13.6719,
2026-07-07 17:34:16.377,3109523,0.1361,-0.1882,1.0391,10.8643,-6.6528,-16.3574,
2026-07-07 17:34:16.397,3109543,0.1083,-0.2029,1.0377,11.7187,-0.5493,-17.334,
2026-07-07 17:34:16.417,3109563,0.1074,-0.2194,1.0226,10.5591,5.3101,-16.4795,
2026-07-07 17:34:16.437,3109583,0.111,-0.2327,0.9883,7.3242,10.0098,-14.5874,
2026-07-07 17:34:16.457,3109603,0.1151,-0.2281,0.9551,3.9062,13.7329,-11.9629,
2026-07-07 17:34:16.477,3109623,0.1342,-0.2052,0.9353,2.3193,16.1743,-8.7891,
2026-07-07 17:34:16.497,3109643,0.1375,-0.1759,0.9274,4.2114,18.1274,-5.4321,
2026-07-07 17:34:16.517,3109663,0.1235,-0.1689,0.9222,7.9346,21.7285,-2.5635,
2026-07-07 17:34:16.537,3109683,0.1168,-0.1545,0.9293,11.9629,25.6958,0.0,
2026-07-07 17:34:16.557,3109703,0.1072,-0.156,0.9468,15.0757,29.4189,2.3804,
2026-07-07 17:34:16.577,3109723,0.1531,-0.1962,0.965,14.4043,29.9683,5.8594,
2026-07-07 17:34:16.597,3109743,0.199,-0.2203,0.9507,9.3384,23.8647,10.8032,
2026-07-07 17:34:16.617,3109763,0.2505,-0.249,0.9218,0.8545,12.0239,16.2354,
2026-07-07 17:34:16.637,3109783,0.2141,-0.2009,0.9281,-9.0332,-3.418,19.6533,
2026-07-07 17:34:16.657,3109803,0.1844,-0.1812,0.9215,-13.0005,-11.4746,19.7144,
2026-07-07 17:34:16.677,3109823,0.2017,-0.1986,0.8909,-13.916,-13.7329,16.5405,
2026-07-07 17:34:16.697,3109843,0.2042,-0.2001,0.9034,-16.4795,-16.4185,12.0239,
2026-07-07 17:34:16.717,3109863,0.152,-0.1742,0.9703,-17.395,-17.395,7.1411,
2026-07-07 17:34:16.737,3109883,0.1566,-0.1764,1.0093,-13.916,-14.5874,3.0518,
2026-07-07 17:34:16.757,3109903,0.1876,-0.1919,1.0011,-10.1318,-14.0991,1.1597,
