timestamp,24:F2:7F:FF:65:72,24:F2:7F:FF:65:73,24:F2:7F:FF:65:74,24:F2:7F:FF:65:B2,24:F2:7F:FF:65:B3,24:F2:7F:FF:65:B4,38:17:C3:C2:14:50,38:17:C3:C2:14:52,38:17:C3:C2:14:53,38:17:C3:C2:14:54,B2:38:6C:49:95:D8,38:17:C3:C2:15:54,24:F2:7F:FF:65:B0,88:36:6C:94:59:DE,58:86:94:BC:64:24,70:5D:CC:3B:7E:00,58:86:94:AE:50:CB,24:F2:7F:FF:63:B0,24:F2:7F:FF:63:B2,24:F2:7F:FF:63:B3,24:F2:7F:FF:63:B4,24:F2:7F:FF:85:B0,24:F2:7F:FF:85:B2,24:F2:7F:FF:85:B3,24:F2:7F:FF:85:B4,24:F2:7F:FF:61:30,24:F2:7F:FF:61:32,24:F2:7F:FF:61:34,5A:86:94:4F:45:6C,38:17:C3:C2:15:10,38:17:C3:C2:15:12,38:17:C3:C2:15:13,38:17:C3:C2:15:14,70:5D:CC:05:7B:9C,24:F2:7F:FF:65:70,24:F2:7F:FF:61:33,38:17:C3:C2:15:30,24:F2:7F:FF:75:93,24:F2:7F:FF:75:94,58:86:94:55:6D:D6,24:F2:7F:FF:75:90,24:F2:7F:FF:75:92,38:17:C3:C1:DE:93,B0:38:6C:4E:F2:5E,38:17:C3:C2:15:50,38:17:C3:C2:15:52,38:17:C3:C2:15:53,90:9F:33:BE:1C:1E,38:17:C3:C1:DE:90,38:17:C3:C1:DE:92,24:F2:7F:FF:5D:13,24:F2:7F:FF:5D:14,24:F2:7F:FF:84:33,38:17:C3:C2:10:B0,38:17:C3:C2:10:B2,38:17:C3:C2:10:B3,38:17:C3:C2:10:B4,24:F2:7F:FF:5D:30,24:F2:7F:FF:5D:32,24:F2:7F:FF:5D:33,24:F2:7F:FF:5D:12,38:17:C3:C2:15:34,70:5D:CC:AE:25:36,24:F2:7F:FF:84:30,24:F2:7F:FF:84:32,24:F2:7F:FF:5D:34,24:4B:FE:24:9B:6C,38:17:C3:C2:15:33,24:F2:7F:FF:5D:10,24:F2:7F:FF:84:34,38:17:C3:C2:15:32,6C:19:8F:CF:B4:CA,38:17:C3:C2:14:90,38:17:C3:C2:14:92,38:17:C3:C2:14:93,38:17:C3:C2:14:94,CC:40:D0:AF:EB:B1,38:17:C3:C2:13:B4,38:17:C3:C2:13:B3,38:17:C3:C2:13:B0,38:17:C3:C2:13:B2,38:17:C3:C2:14:70,38:17:C3:C2:14:73,38:17:C3:C2:14:32,38:17:C3:C2:14:33,38:17:C3:C2:14:34,38:17:C3:C1:69:70,38:17:C3:C2:14:74,90:9F:33:81:8E:C8,38:17:C3:C2:14:30,24:F2:7F:FF:75:F0,24:F2:7F:FF:75:F2,24:F2:7F:FF:75:F4,24:F2:7F:FF:75:F3,44:48:C1:27:95:B0,44:48:C1:27:95:B2,44:48:C1:27:95:B3,38:17:C3:C1:69:72,38:17:C3:C1:69:73,24:F2:7F:FF:7A:F0,24:F2:7F:FF:7A:F2,24:F2:7F:FF:7A:F3,C2:78:90:1F:E3:A2,B2:38:6C:49:01:2C,24:F2:7F:FF:7A:F4,5A:86:94:C3:E9:60,38:17:C3:C1:69:74,60:D0:2C:11:97:3C,38:17:C3:C1:DE:94
2026-07-07 17:34:15.890,-88,-88,-90,-84,-84,-84,-71,-72,-71,-71,-89,-95,-83,-95,-86,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 17:34:16.223,,,,,,,,,,,,,,,,,-81,-73,-74,-73,-73,-79,-81,-81,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 17:34:16.557,,,,,,,,,,-70,,,,,-87,-91,,,,,,,,,,-93,-94,-95,-87,-79,-69,-79,-79,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 17:34:16.890,-90,,,-82,-82,-82,-71,-71,-72,-72,,,-83,,,-90,,-73,-73,-74,-73,-78,-79,-79,-79,-93,,,-87,-81,,-80,-81,,-90,-93,-90,-93,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 17:34:17.223,-90,,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 17:34:17.557,,,,-83,-83,-83,-71,-71,-71,-71,,,-84,,,-91,,,,,,,,,,,,,,,,,,,,,,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 17:34:17.890,,,,,,,,,,,,,,,,,,-75,-76,-75,-76,-79,-80,-80,-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 17:34:18.224,,-88,-88,,,,-71,-70,-70,-71,-86,,,,-86,-90,,-72,-72,-72,-72,-81,-82,-80,-82,-94,-94,-93,-88,,,,-83,-89,,,-88,-93,-93,-93,-92,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 17:34:18.557,,,,-83,-82,-83,-67,-68,-68,-67,,,-83,-94,,,,,,,,,,,,-94,-93,-94,-86,-80,-81,-81,,,,-92,,-93,-92,,-93,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07 17:34:18.890,-87,-87,,,,,,,,,-89,,,,,,-80,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
